Test Cases:
100
2 1
22 29
71 48
2 85
93 40
92 79
4 92
94 75
25 66
54 15
90 19
8 66
66 11
100 41
57 61
86 3
4 70
61 14
16 72
9 3
9 49
100 10
52 45
10 33
20 5
20 27
41 48
79 96
2 15
20 28
1 23
65 51
6 17
23 11
2 27
22 3
63 2
88 74
62 15
10 49
55 2
39 18
72 75
34 50
80 19
27 55
27 3
85 77
43 2
82 13
6 25
54 8
88 99
76 7
75 71
11 59
37 61
4 87
79 82
17 43
11 83
66 79
8 16
89 64
4 34
35 27
51 43
97 28
87 59
36 48
86 39
7 26
2 66
35 74
31 8
22 84
67 82
36 96
87 41
2 53
92 39
98 27
5 91
14 63
43 48
92 50
7 84
23 7
6 49
76 61
47 65
14 100
80 74
91 41
30 92
4 12
71 22
7 65
24 10
75 42
10 81
55 69
22 71
15 9
98 58
3 33
87 93
61 48
47 35
65 58
48 48
9 28
61 43
17 34
68 9
78 81
18 91
90 67
68 58
39 69
9 94
1 57
91 32
9 71
23 83
19 33
75 85
11 81
15 39
5 30
47 26
64 51
82 24
7 51
20 74
40 78
95 99
53 31
76 22
71 74
61 59
9 23
66 47
23 44
12 64
32 28
71 67
77 53
31 41
72 67
98 44
6 53
65 7
69 99
37 67
54 81
71 15
95 95
8 42
68 77
24 24
11 73
24 2
61 7
58 22
79 32
39 27
2 2
90 24
15 46
3 71
29 11
63 87
64 55
5 78
15 67
56 33
13 88
36 69
31 91
7 60
49 41
86 78
28 20
38 80
71 28
65 70
78 37
5 28
10 83
70 96
1 55
3 97
57 98
3 3
41 76
26 97
11 95
7 23
76 63
34 50
100 12
79 32
21 90
27 4
55 100
9 66
69 9
57 31
86 74
42 3
77 56
29 27
17 1
66 81
69 77
9 57
87 3
33 57
84 27
87 65
8 34
3 93
98 52
71 34
93 25
10 39
32 80
96 20
35 8
48 40
71 63
59 11
37 12
48 14
89 59
41 41
1 88
43 49
9 32
59 88
58 35
90 10
65 91
65 70
57 39
96 20
46 16
17 99
3 28
87 65
69 91
67 50
1 39
77 35
3 54
32 56
49 59
36 44
10 86
96 11
58 23
47 73
65 17
81 61
100 78
26 44
88 83
11 51
86 2
2 85
100 82
91 18
4 62
59 41
65 56
79 1
68 32
10 83
2 45
22 49
91 63
86 77
50 54
9 23
38 2
77 69
44 35
38 2
6 51
33 97
36 14
68 75
33 41
87 66
95 62
1 67
23 26
6 30
59 76
59 28
46 2
58 50
84 90
32 52
2 3
48 4
29 63
6 85
26 71
4 38
25 57
76 67
33 49
10 94
10 87
91 77
6 11
2 27
18 14
62 28
6 37
36 59
21 32
38 31
66 13
8 79
8 77
66 81
45 21
71 64
56 4
24 94
65 73
96 98
10 100
10 39
58 50
8 20
91 73
31 97
31 68
10 5
27 26
19 30
3 8
2 98
38 14
79 87
3 7
36 58
39 96
54 75
10 73
84 12
57 61
17 15
79 7
27 93
4 98
76 40
98 14
93 23
85 83
2 12
44 73
3 3
5 9
70 9
31 84
100 60
37 28
88 1
8 79
49 21
65 78
76 96
84 50
54 59
56 7
52 9
59 77
7 61
43 35
88 30
85 28
1 18
88 68
97 51
44 7
2 99
35 41
16 27
9 37
68 98
6 7
46 67
66 88
71 56
77 64
75 76
24 63
42 44
10 91
95 9
15 85
26 37
46 21
22 11
48 99
14 60
94 59
42 20
13 93
2 16
51 69
84 33
9 21
59 24
43 5
23 39
15 82
71 77
66 74
48 78
23 71
17 33
1 94
31 89
7 46
44 65
86 25
68 71
75 37
65 12
74 71
19 18
8 8
31 26
30 81
14 2
47 61
76 1
83 73
97 42
82 43
10 91
34 53
8 40
44 56
83 27
96 8
85 36
98 15
45 87
47 46
26 77
4 51
39 85
88 75
89 64
64 25
6 51
23 40
80 75
10 98
49 52
18 61
49 71
1 94
66 70
5 32
26 78
18 94
30 67
71 73
14 53
4 36
93 99
80 24
18 23
19 54
1 73
78 98
7 45
48 42
89 42
44 92
45 61
20 89
22 64
46 30
8 91
92 27
22 56
3 37
88 18
100 24
94 69
88 42
15 64
8 35
54 7
56 1
16 97
80 5
26 25
55 99
72 9
49 91
3 75
58 36
49 7
40 49
1 92
62 42
3 19
37 48
82 1
77 60
6 12
26 21
34 64
51 92
29 18
67 95
27 70
8 65
22 50
6 45
49 18
18 37
71 77
11 5
67 24
30 29
9 73
37 87
87 27
50 76
3 84
16 48
63 63
90 27
22 95
89 31
9 63
78 92
85 28
53 99
51 8
8 19
63 68
47 27
96 25
43 75
5 82
57 61
37 68
84 83
93 34
99 4
5 3
96 27
52 39
15 66
58 21
39 6
9 98
74 10
25 37
88 7
87 4
34 27
42 99
46 52
7 11
66 67
3 51
100 84
65 62
1 81
5 27
23 51
42 81
27 76
43 41
11 77
2 94
46 6
81 71
2 7
29 51
70 65
2 81
88 2
75 61
9 61
98 55
59 42
85 14
30 36
68 76
81 84
89 44
47 69
34 64
2 48
90 60
17 46
1 34
90 71
8 88
4 62
63 67
21 90
62 49
94 47
27 86
30 14
6 58
1 92
30 22
10 30
10 63
62 37
68 87
80 76
42 39
97 82
43 25
15 64
31 83
89 4
3 43
29 79
56 60
79 29
9 89
100 70
42 33
44 70
70 78
60 88
12 62
66 92
81 55
86 87
10 62
61 8
52 87
20 16
55 54
15 1
12 9
18 67
97 88
28 51
76 45
