Test Cases:
100
93
86 94
18 66
42 5
65 11
3 89
3 14
61 92
98 32
39 83
21 19
1 43
53 88
63 1
25 89
65 80
72 6
83 86
42 17
71 42
52 71
29 36
24 1
18 57
41 50
68 4
86 21
48 21
93 23
81 97
21 22
33 27
52 21
1 30
83 91
2 2
71 85
17 15
2 51
19 28
20 98
66 12
90 65
98 35
60 32
95 75
86 32
69 20
14 75
53 21
11 75
64 95
57 71
74 44
79 93
65 61
25 30
21 4
8 50
14 81
58 35
36 33
18 41
62 87
60 11
3 87
77 76
56 40
77 83
90 67
81 47
63 56
11 7
15 67
31 25
5 35
87 90
93 65
35 58
72 69
99 40
42 13
44 55
91 2
33 14
86 54
82 13
30 62
30 93
13 53
33 31
82 82
12 55
13 55
35
47 34
49 31
77 18
45 30
92 17
20 88
23 1
43 4
15 85
2 38
20 46
39 69
53 98
53 99
95 33
85 100
91 93
91 29
39 36
30 62
23 25
82 42
44 68
62 85
96 61
77 51
91 27
31 79
6 48
92 14
74 13
65 57
28 64
4 23
46 60
1
56 32
12
21 91
43 42
65 15
86 62
34 21
12 67
68 15
85 1
52 83
28 4
99 53
76 40
39
51 58
9 60
72 94
17 11
99 90
72 6
29 99
63 33
32 89
96 75
49 5
96 64
4 97
82 53
82 48
16 28
76 66
60 66
54 34
53 42
26 59
25 32
11 72
85 74
64 71
71 78
29 71
87 40
4 88
13 21
87 72
33 80
97 36
80 40
94 68
71 46
33 27
98 84
97 92
19
42 1
38 71
96 59
39 59
1 42
46 86
58 60
27 3
14 44
66 62
100 37
92 100
66 46
73 11
97 3
37 98
28 19
9 32
77 56
85
14 14
80 88
16 49
9 19
13 62
16 93
22 56
37 26
7 26
90 83
3 3
29 33
29 69
35 38
84 30
14 36
20 55
73 95
73 4
58 34
55 69
5 57
31 84
3 9
34 90
90 39
74 26
87 30
61 15
23 83
76 58
18 78
56 48
45 26
85 30
11 13
99 21
7 33
85 14
56 35
62 7
68 66
18 23
77 26
13 92
97 37
19 26
65 9
43 62
20 68
73 28
25 84
86 53
46 35
10 45
66 14
49 64
46 24
13 73
75 77
51 8
95 100
79 60
97 86
5 40
18 16
45 60
2 95
99 74
50 77
79 66
55 43
23 97
78 41
31 89
45 25
72 9
63 72
44 82
12 49
45 75
59 35
68 85
27 13
28 74
75
12 31
62 57
9 55
19 86
80 1
5 64
28 90
93 72
20 63
76 84
61 67
34 63
25 35
55 4
92 1
88 13
96 55
14 58
82 58
53 53
46 10
91 22
36 57
99 61
21 76
16 7
4 57
29 83
22 25
83 82
70 59
92 17
53 38
98 25
20 84
35 30
12 35
7 97
79 60
44 4
51 74
44 56
44 68
20 1
65 11
12 27
44 78
79 9
10 18
80 5
69 24
13 3
48 8
75 43
46 100
59 36
22 46
27 87
34 63
44 34
32 88
10 89
26 77
48 10
1 27
62 32
22 10
12 19
66 56
81 70
76 85
48 29
50 35
58 39
50 79
80
31 69
13 10
63 47
17 15
73 92
22 35
17 34
19 35
26 84
28 1
97 63
90 100
83 23
74 96
34 52
95 88
70 57
26 71
96 61
29 69
12 20
47 20
60 72
99 99
72 16
27 77
95 17
39 41
66 28
55 25
11 51
61 73
69 16
98 81
18 74
90 13
49 92
5 32
69 27
1 27
69 52
54 11
86 39
25 85
46 90
25 57
54 17
69 82
71 1
17 89
72 79
79 95
98 54
25 47
40 77
58 59
29 14
93 98
37 81
84 48
19 73
24 69
32 100
52 43
51 6
5 5
18 88
53 40
73 84
22 73
81 48
5 43
29 94
54 31
32 15
91 29
85 41
49 60
63 41
18 61
23
89 95
36 64
64 8
87 89
68 73
7 53
92 19
76 11
58 44
61 39
1 63
4 41
29 20
31 44
100 78
18 62
19 90
47 70
61 79
48 26
56 10
80 94
11 52
93
84 4
17 4
6 46
56 93
13 75
80 4
27 20
57 77
40 60
8 68
8 49
78 52
28 72
56 12
29 60
59 46
89 70
26 68
97 19
100 97
99 21
